Date,Open,High,Low,Close,Adj Close,Volume
2023-02-21,122.000000,123.000000,120.000000,121.000000,121.000000,2981870500
2023-02-22,119.000000,120.000000,113.000000,116.000000,116.000000,4225445100
2023-02-23,118.000000,119.000000,115.000000,116.000000,116.000000,1792359400
2023-02-24,118.000000,122.000000,116.000000,120.000000,120.000000,2348456200
2023-02-27,120.000000,122.000000,117.000000,118.000000,118.000000,2277082600
2023-02-28,118.000000,119.000000,114.000000,118.000000,118.000000,3160179500
2023-03-01,119.000000,123.000000,118.000000,122.000000,122.000000,3981849100
2023-03-02,122.000000,125.000000,120.000000,121.000000,121.000000,2721105200
2023-03-03,123.000000,124.000000,122.000000,124.000000,124.000000,2184394100
2023-03-06,125.000000,129.000000,124.000000,128.000000,128.000000,3551983600
2023-03-07,129.000000,132.000000,128.000000,129.000000,129.000000,3779176100
2023-03-08,129.000000,131.000000,126.000000,130.000000,130.000000,4196129100
2023-03-09,131.000000,132.000000,128.000000,129.000000,129.000000,1922759300
2023-03-10,128.000000,129.000000,123.000000,125.000000,125.000000,2283679700
2023-03-13,124.000000,129.000000,121.000000,126.000000,126.000000,4384992200
2023-03-14,126.000000,127.000000,118.000000,121.000000,121.000000,3851197200
2023-03-15,124.000000,125.000000,119.000000,121.000000,121.000000,3063900200
2023-03-16,121.000000,121.000000,116.000000,117.000000,117.000000,2961356000
2023-03-17,119.000000,121.000000,113.000000,116.000000,116.000000,58034016600
2023-03-20,115.000000,116.000000,108.000000,108.000000,108.000000,2667209800
2023-03-21,105.000000,111.000000,103.000000,110.000000,110.000000,4671194300
